scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	SAGAUSD	7	0	-130.48	0.000	-0.989	-130.62	0	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	AINUSD	6	3	-20.80	0.642	-0.168	-25.25	3	125
take-liquidity-multi-time-frame-tradesystem	15m	COOKIEUSD	9	5	-2.63	0.962	-0.008	-13.75	3	42
take-liquidity-multi-time-frame-tradesystem	1h	PIEVERSEUSD	59	25	-61.87	0.897	-0.039	-142.62	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	COOKIEUSD	7	2	-72.60	0.251	-0.530	-81.83	1	125
smart-grid-scalping-pullback-strategy-bullbyte	1h	BNBUSD	53	35	-4.15	0.987	0.003	-117.75	6	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	15m	AVAXUSD	13	5	-79.72	0.465	-0.310	-147.15	3	42
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	1000PEPEUSD	6	3	-37.20	0.368	-0.310	-53.29	2	125
take-liquidity-multi-time-frame-tradesystem	1h	LINKUSD	79	28	-416.43	0.420	-0.334	-492.20	0	125
mcginley-t3-flow-campaign-nick789-v-1	15m	BTCUSD	19	9	-130.62	0.280	-0.367	-132.71	3	42
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	ETCUSD	7	3	-6.01	0.924	-0.026	-25.45	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	WIFUSD	6	4	14.09	1.340	0.124	21.00	3	125
take-liquidity-multi-time-frame-tradesystem	1h	BNBUSD	81	30	-323.24	0.593	-0.235	-405.19	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	DOGEUSD	7	4	-29.55	0.502	-0.210	-33.47	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	ETHUSD	7	4	26.52	1.439	0.198	21.51	2	125
take-liquidity-multi-time-frame-tradesystem	1h	BCHUSD	89	34	-461.36	0.376	-0.340	-501.27	0	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	SOLUSD	7	4	-18.89	0.680	-0.117	-21.62	2	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	ZECUSD	11	6	-19.86	0.794	-0.095	-35.82	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	4h	AVAXUSD	7	1	-96.17	0.151	-0.726	-98.62	0	333
smart-grid-scalping-pullback-strategy-bullbyte	1h	BCHUSD	62	40	184.03	1.774	0.141	70.51	6	125
